timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548171026879,26487,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-7,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2928,0,1449
1548171045228,8275,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-2,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2726,0,1677
1548171030522,23208,HTTP Request Pagina Media,200,OK,Thread Group 1-5,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2649,0,1229
1548171026178,27925,HTTP Request Immagine,200,OK,Thread Group 1-23,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2822,0,1286
1548171039064,15049,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-18,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,5753,0,3225
1548171046973,7592,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-21,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3449,0,989
1548171032826,22214,HTTP Request Pagina Media,200,OK,Thread Group 1-19,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4680,0,1986
1548171028676,26367,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-28,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2878,0,1573
1548171043497,12857,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-13,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3547,0,2163
1548171030147,26438,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-9,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2611,0,1331
1548171026262,31069,HTTP Request Immagine,200,OK,Thread Group 1-24,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2786,0,1254
1548171054114,3701,HTTP Request Pagina Piccola,200,OK,Thread Group 1-18,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2566,0,980
1548171042066,15794,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-11,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,4205,0,2497
1548171046629,11296,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-17,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3569,0,1225
1548171055043,3558,HTTP Request Pagina Piccola,200,OK,Thread Group 1-19,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2734,0,1586
1548171038918,19843,HTTP Request Pagina Media,200,OK,Thread Group 1-25,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,5898,0,3371
1548171039725,19210,HTTP Request Pagina Media,200,OK,Thread Group 1-1,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,5269,0,2716
1548171053506,5615,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-2,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2869,0,1119
1548171053369,6597,HTTP Request Pagina Piccola,200,OK,Thread Group 1-7,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2825,0,1099
1548171057817,3068,HTTP Request Pagina Piccola,200,OK,Thread Group 1-18,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,1696,0,800
1548171044755,16394,HTTP Request Pagina Media,200,OK,Thread Group 1-15,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2902,0,1698
1548171057862,3327,HTTP Request Pagina Piccola,200,OK,Thread Group 1-11,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,1903,0,873
1548171036402,25049,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-30,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,6080,0,3295
1548171031383,30767,HTTP Request Immagine,200,OK,Thread Group 1-20,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3209,0,1264
1548171052532,9762,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-27,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2510,0,1310
1548171038471,23838,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-29,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,6254,0,3699
1548171046177,16436,HTTP Request Pagina Media,200,OK,Thread Group 1-4,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2255,0,1086
1548171057333,5526,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-24,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,1541,0,664
1548171053733,9554,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-5,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2946,0,1305
1548171050038,15111,HTTP Request Pagina Media,200,OK,Thread Group 1-3,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3054,0,1601
1548171048012,17724,HTTP Request Pagina Media,200,OK,Thread Group 1-26,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4153,0,2417
1548171048083,17954,HTTP Request Pagina Media,200,OK,Thread Group 1-6,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,4137,0,2373
1548171062310,4007,HTTP Request Pagina Piccola,200,OK,Thread Group 1-29,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2311,0,978
1548171037493,29353,HTTP Request Immagine,200,OK,Thread Group 1-10,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,6294,0,3983
1548171058937,8705,HTTP Request Pagina Piccola,200,OK,Thread Group 1-1,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2524,0,1039
1548171062860,4854,HTTP Request Pagina Piccola,200,OK,Thread Group 1-24,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2790,0,1129
1548171039647,29259,HTTP Request Immagine,200,OK,Thread Group 1-16,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,5268,0,2743
1548171062297,7805,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-27,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2312,0,989
1548171042579,28341,HTTP Request Immagine,200,OK,Thread Group 1-8,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,4260,0,2542
1548171047894,23028,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-14,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,4070,0,2428
1548171048059,23089,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-22,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,4106,0,2385
1548171055045,16701,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-28,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2731,0,1583
1548171060887,11908,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-18,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2475,0,1444
1548171057928,17992,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-17,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,1855,0,832
1548171063289,13882,HTTP Request Pagina Media,200,OK,Thread Group 1-5,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3000,0,1287
1548171054105,23224,HTTP Request Immagine,200,OK,Thread Group 1-23,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2574,0,989
1548171059123,18382,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-2,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2645,0,1124
1548171058767,19188,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-25,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,2423,0,1003
1548171056588,22436,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-9,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,1836,0,1094
1548171070104,9068,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-27,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2765,0,1200
1548171065738,14787,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-26,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3642,0,2094
1548171066847,14741,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-10,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3456,0,1808
1548171050579,31167,HTTP Request Immagine,200,OK,Thread Group 1-12,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3042,0,1695
1548171061191,21068,HTTP Request Pagina Media,200,OK,Thread Group 1-11,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2452,0,1402
1548171061453,21189,HTTP Request Pagina Media,200,OK,Thread Group 1-30,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2509,0,1375
1548171054567,29051,HTTP Request Immagine,200,OK,Thread Group 1-21,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2924,0,1749
1548171077507,7146,HTTP Request Pagina Piccola,200,OK,Thread Group 1-2,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,4477,0,1980
1548171058602,26056,HTTP Request Immagine,200,OK,Thread Group 1-19,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2228,0,882
1548171056357,29822,HTTP Request Immagine,200,OK,Thread Group 1-13,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,1882,0,1142
1548171066040,22566,HTTP Request Pagina Media,200,OK,Thread Group 1-6,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3847,0,2227
1548171071748,17021,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-28,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2671,0,1048
1548171075922,13491,HTTP Request Pagina Piccola,200,OK,Thread Group 1-17,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,4210,0,2092
1548171062616,27376,HTTP Request Immagine,200,OK,Thread Group 1-4,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2505,0,1065
1548171068907,22781,HTTP Request Pagina Media,200,OK,Thread Group 1-16,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3363,0,1727
1548171062154,29546,HTTP Request Immagine,200,OK,Thread Group 1-20,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2194,0,970
1548171065151,29005,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-3,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,3828,0,1972
