 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 0  0  62696 159920  96888 166748    0    0     0    12  594  203  0 19 81  0  0
 1  0  62696 158976  96888 166748    0    0     0     0  260  162  0  9 91  0  0
 0  0  62696 154400  96888 166748    0    0     0     0  962  235  0 11 89  0  0
 0  0  62696 151552  96884 166760    0    0     0     0  591  184  0  9 91  0  0
 0  0  62696 149904  96884 166760    0    0     0     0  589  178  0 13 87  0  0
 1  0  62696 150512  96884 166760    0    0     0     0  790  179  0 18 82  0  0
 1  0  62696 151488  96884 166760    0    0     0     0  801  178  0 10 90  0  0
 0  0  62696 153664  96884 166760    0    0     0    24  774  188  0 13 87  0  0
 1  0  62696 155392  96884 166768    0    0     0    10  390  168  0 10 90  0  0
 0  0  62696 155488  96884 166768    0    0     0     0  133  141  0  2 98  0  0
 0  0  62696 156960  96884 166768    0    0     0     0  333  148  0  7 93  0  0
 3  0  62696 158464  96884 166768    0    0     0     0  497  173  0  7 93  0  0
 2  0  62696 159744  96884 166768    0    0     0     0  782  253  0 18 82  0  0
 2  0  62696 159248  96884 166768    0    0     0    12  833  225  0 14 84  2  0
 1  0  62696 157532  96884 166776    0    0     0     0  923  207  0 15 85  0  0
 0  0  62696 157868  96884 166776    0    0     0     0 1048  219  0 20 80  0  0
 1  0  62696 158716  96884 166780    0    0     0     0  820  190  0 19 81  0  0
 0  0  62696 159804  96884 166780    0    0     0    12  731  197  0 10 90  0  0
 0  0  62696 160220  96884 166780    0    0     0    28  846  215  0 23 76  1  0
 0  0  62696 161164  96884 166784    0    0     0     0  716  246  0 22 78  0  0
 0  0  62696 162044  96884 166788    0    0     0     0  739  162  0 15 85  0  0
 2  0  62696 162604  96884 166788    0    0     0     0  248  171  0  9 91  0  0
 0  0  62696 164012  96884 166788    0    0     0     8  683  222  1 13 86  0  0
 0  0  62696 164844  96884 166788    0    0     0    12  561  201  0 15 85  0  0
 1  0  62696 165148  96884 166788    0    0     0     0  173  150  0  4 96  0  0
 0  0  62696 163516  96884 166788    0    0     0     0  772  282  0 15 85  0  0
 2  0  62696 161804  96884 166796    0    0     0     0  763  263  0 19 81  0  0
 1  0  62696 161260  96884 166796    0    0     0     0  753  261  0 14 86  0  0
 0  0  62696 157228  96884 166796    0    0     0     0 1128  235  0 19 81  0  0
 1  0  62696 154812  96884 166796    0    0     0    12 1051  236  0 21 79  0  0
 0  0  62696 153036  96884 166804    0    0     0     0  979  196  0  9 91  0  0
 0  0  62696 152876  96884 166804    0    0     0     0  530  202  0 10 90  0  0
 0  0  62696 155020  96884 166804    0    0     0     0  436  177  0 15 85  0  0
 0  0  62696 156780  96884 166804    0    0     0     0 1039  178  0 16 84  0  0
 0  0  62696 155772  96884 166804    0    0     0     0  652  206  0 18 82  0  0
 2  0  62696 155980  96884 166804    0    0     0    12  623  185  0  9 91  0  0
 0  0  62696 156572  96884 166812    0    0     0     0  478  208  0 14 86  0  0
 0  0  62696 154220  96884 166816    0    0     0     0  841  230  1 11 87  0  0
 1  0  62696 154060  96884 166816    0    0     0     2  247  178  0  8 92  0  0
 0  0  62696 152860  96884 166816    0    0     0     0  780  183  0  7 93  0  0
 0  0  62696 152372  96884 166816    0    0     0    12  953  241  0 11 89  0  0
 1  0  62696 151700  96884 166816    0    0     0     0  493  181  0 11 89  0  0
 1  0  62696 152084  96884 166824    0    0     0     0  857  218  0 18 82  0  0
 1  0  62696 153460  96884 166824    0    0     0     0  370  160  0 10 90  0  0
 1  0  62696 154100  96884 166824    0    0     0     0  656  194  0 15 85  0  0
 2  0  62696 155572  96884 166824    0    0     0    12  668  229  0 16 84  0  0
 2  0  62696 156548  96884 166824    0    0     0     0  547  203  1 14 85  0  0
 1  0  62696 156500  96884 166832    0    0     0    12  875  210  0 21 79  0  0
 3  0  62696 154532  96884 166832    0    0     0     0  552  173  0 12 88  0  0
 2  0  62696 152372  96884 166832    0    0     0     0  971  228  0 15 85  0  0
 1  0  62696 149140  96888 166832    0    0     0     0  648  218  0 10 90  0  0
 0  0  62696 149092  96884 166844    0    0     0    12  904  189  0 20 80  0  0
 1  0  62696 149988  96884 166844    0    0     0    16  931  211  0 16 84  0  0
 0  0  62696 151348  96884 166844    0    0     0     0  674  186  0 13 87  0  0
 1  0  62696 150564  96884 166844    0    0     0     0  231  146  0  5 95  0  0
 0  0  62696 150564  96884 166844    0    0     0     0  464  140  0  9 91  0  0
 2  0  62696 150292  96884 166844    0    0     0     0  691  200  1 13 86  0  0
 1  1  62696 150356  96884 166844    0    0     0    24  275  147  0  8 90  2  0
 0  0  62696 151476  96884 166848    0    0     0     4  227  157  0  4 95  1  0
 1  0  62696 154868  96884 166848    0    0     0     0  204  130  0  5 95  0  0
 1  0  62696 163284  96884 166852    0    0     0     0  760  224  0 16 84  0  0
 0  0  62696 165236  96884 166852    0    0     0     0  725  206  0 15 85  0  0
 0  0  62696 165556  96884 166856    0    0     0     0  998  247  0 24 76  0  0
 0  0  62696 164980  96884 166856    0    0     0     0  910  203  0 21 79  0  0
 0  0  62696 164676  96884 166856    0    0     0     0  790  187  0 12 88  0  0
 0  0  62696 164548  96884 166856    0    0     0    12  231  122  0  5 95  0  0
 0  0  62696 162980  96884 166856    0    0     0     0  830  199  0 14 86  0  0
 0  0  62696 160628  96884 166856    0    0     0     0  909  177  0 18 82  0  0
 1  0  62696 157812  96884 166864    0    0     0     2  941  157  0 14 86  0  0
 0  0  62696 155700  96884 166864    0    0     0     0  940  162  0 18 82  0  0
 0  0  62696 156260  96884 166864    0    0     0     0  872  173  0 15 85  0  0
 0  0  62696 156744  96884 166864    0    0     0     0  743  183  0  8 92  0  0
 1  0  62696 158680  96884 166864    0    0     0     0  554  172  0 12 88  0  0
 0  0  62696 158904  96884 166864    0    0     0     0  639  171  0 17 83  0  0
 1  0  62696 160104  96884 166864    0    0     0     0  769  171  0 21 79  0  0
 0  0  62696 159684  96884 166864    0    0     0    12  717  186  0 12 88  0  0
 2  0  62696 158820  96884 166872    0    0     0     0  893  209  0 16 84  0  0
 1  0  62696 155652  96884 166872    0    0     0     0  903  176  0 12 88  0  0
 0  0  62696 157652  96884 166872    0    0     0     0  729  160  0 13 87  0  0
 0  0  62696 159220  96884 166872    0    0     0     0  919  187  0 20 80  0  0
 1  0  62696 162200  96884 166872    0    0     0     0  413  159  0 10 90  0  0
 0  0  62696 167160  96884 166872    0    0     0    12  743  178  0 18 82  0  0
 0  0  62696 171560  96884 166880    0    0     0    20   90  131  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   51  103  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   55  107  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   60  111  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   56  109  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     8   62  116  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   53  102  0  0 100  0  0
 0  0  62696 171560  96884 166880    0    0     0     0   62  111  0  0 100  0  0
